,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
224,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1,0,0,0,0,0,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,3,0,1,0,0,4,53094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1,0,0,0,0,0,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2,0,1,0,0,0,23673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,3,0,0,0,0,3,53094,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
